SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_DEMSAT,TIN,OE_DOMESTIC,924,0,0,0,924,0,01-Feb-25,-1,STP
MONTHLY_MAX_DEMSAT,CRCA,RE_DOMESTIC,0,0,4633,4592,4633,4592,01-Feb-25,10,FOC
MONTHLY_MAX_DEMSAT,HRPO,SA_DOMESTIC,0,0,533,527,533,527,01-Feb-25,2000,FOC
MONTHLY_MAX_DEMSAT,HRPO,RE_DOMESTIC,488.7,488.699996,0,0,488.7,488.699996,01-Feb-25,4,STP
MONTHLY_MAX_DEMSAT,TMT-CF,OE_DOMESTIC,0,0,579,570,579,570,01-Feb-25,12,PRY
MONTHLY_MAX_DEMSAT,WR - L,RE_DOMESTIC,0,0,983,983,983,983,01-Feb-25,11,FOC
MONTHLY_MAX_DEMSAT,PRB_BLM,OE_DOMESTIC,2165.22,2165.22,0,0,2165.22,2165.22,01-Feb-25,4,EMG
MONTHLY_MAX_DEMSAT,PRB_BLM,MS_DOMESTIC,0,0,3,3,3,3,01-Feb-25,11,STR
MONTHLY_MAX_DEMSAT,PRB_BRM,OE_DOMESTIC,0,0,334,334,334,334,01-Feb-25,11,STR
MONTHLY_MAX_DEMSAT,GL,MS_DOMESTIC,289,0,0,0,289,0,01-Mar-25,-1,STP
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,0,0,244,244,244,244,01-Mar-25,2000,STP
MONTHLY_MAX_DEMSAT,HRPO,RE_DOMESTIC,0,0,5535,5460,5535,5460,01-Mar-25,35,STR
MONTHLY_MAX_DEMSAT,PPGI,OE_DOMESTIC,100,0,0,0,100,0,01-Mar-25,-1,PRY
MONTHLY_MAX_DEMSAT,HRCTL,RE_DOMESTIC,142.22,0,0,0,142.22,0,01-Mar-25,-1,FOC
MONTHLY_MAX_DEMSAT,WR - AL,SA_DOMESTIC,0,0,52,52,52,52,01-Mar-25,2000,STP
MONTHLY_MAX_DEMSAT,GI,RE_DOMESTIC,0,0,35429,35368,35429,35368,01-Apr-25,47,STR
MONTHLY_MAX_DEMSAT,CRCA,SA_DOMESTIC,0,0,397,397,397,397,01-Apr-25,2000,FOC
MONTHLY_MAX_DEMSAT,HRGI,OE_DOMESTIC,0,0,112,103,112,103,01-Apr-25,47,FOC
MONTHLY_MAX_DEMSAT,GL,OE_DOMESTIC,0,0,1612,1599,1612,1599,01-May-25,58,EMG
MONTHLY_MAX_DEMSAT,CRCA,SA_DOMESTIC,0,0,24064,21950,24064,21950,01-May-25,2000,STR
MONTHLY_MAX_DEMSAT,CRFH,OE_DOMESTIC,0,0,102,102,102,102,01-May-25,58,FOC
MONTHLY_MAX_DEMSAT,TMBP,OE_DOMESTIC,0,0,17,17,17,17,01-May-25,58,FOC
MONTHLY_MAX_DEMSAT,WR - L,OE_DOMESTIC,0,0,88,88,88,88,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,PRB_BLM,MS_DOMESTIC,0,0,790,790,790,790,01-May-25,58,STP
MONTHLY_MAX_DEMSAT,PRB_BLM,RE_DOMESTIC,0,0,149,149,149,149,01-May-25,58,STP
MONTHLY_MAX_DEMSAT,AS CAST ROUNDS,SA_DOMESTIC,0,0,550,550,550,550,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,AS CAST BILLETS,SA_DOMESTIC,0,0,1176,1176,1176,1176,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,GA,SA_DOMESTIC,0,0,13,7,13,7,01-Feb-25,2000,EMG
MONTHLY_MAX_DEMSAT,GL,MS_DOMESTIC,1360.16,1360.160001,0,0,1360.16,1360.160001,01-Feb-25,3,STP
