SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_PROFIT,GL,RE_DOMESTIC,0,0,2132,2078,2132,2078,01-Mar-25,34,PRY
MONTHLY_MAX_PROFIT,HR,RE_DOMESTIC,0,0,38611,38611,38611,38611,01-Mar-25,36,PRY
MONTHLY_MAX_PROFIT,LPF,MS_DOMESTIC,0,0,398,398,398,398,01-Mar-25,35,STR
MONTHLY_MAX_PROFIT,RCS,RE_DOMESTIC,0,0,151,141,151,141,01-Mar-25,35,STP
MONTHLY_MAX_PROFIT,CRCA,MS_DOMESTIC,0,0,1451,1451,1451,1451,01-Mar-25,35,EMG
MONTHLY_MAX_PROFIT,CRCA,RE_DOMESTIC,0,0,504,504,504,504,01-Mar-25,35,EMG
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,751.82,751.82,0,0,751.82,751.82,01-Mar-25,23,PRY
MONTHLY_MAX_PROFIT,PPGL,OE_DOMESTIC,363,363,0,0,363,363,01-Mar-25,21,FOC
MONTHLY_MAX_PROFIT,WR - AL,MS_DOMESTIC,0,0,55,55,55,55,01-Mar-25,35,FOC
MONTHLY_MAX_PROFIT,AS CAST BLOOMS,OE_DOMESTIC,0,0,8,8,8,8,01-Mar-25,38,EMG
MONTHLY_MAX_PROFIT,GL,MS_DOMESTIC,100,100,0,0,100,100,01-Apr-25,41,STR
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,476.75,476.75,0,0,476.75,476.75,01-Apr-25,42,PRY
MONTHLY_MAX_PROFIT,NOFP,OE_DOMESTIC,0,0,8,0,8,0,01-Apr-25,48,STR
MONTHLY_MAX_PROFIT,NOSP,MS_DOMESTIC,0,0,456,456,456,456,01-Apr-25,46,PRY
MONTHLY_MAX_PROFIT,PPGI,MS_DOMESTIC,0,0,154,154,154,154,01-Apr-25,46,EMG
MONTHLY_MAX_PROFIT,WR - AL,OE_DOMESTIC,0,0,262,220,262,220,01-Apr-25,48,PRY
MONTHLY_MAX_PROFIT,AS CAST BILLETS,OE_DOMESTIC,0,0,104,104,104,104,01-Apr-25,51,FOC
MONTHLY_MAX_PROFIT,TFS,MS_DOMESTIC,0,0,4,4,4,4,01-May-25,58,PRY
MONTHLY_MAX_PROFIT,PPGI,RE_DOMESTIC,0,0,3808,3729,3808,3729,01-May-25,58,STR
MONTHLY_MAX_PROFIT,PPGL,RE_DOMESTIC,0,0,7480,7480,7480,7480,01-May-25,58,STP
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,0,0,15759,15674.6,15759,15674.6,01-May-25,58,STP
MONTHLY_MAX_PROFIT,WR - L,RE_DOMESTIC,0,0,23,23,23,23,01-May-25,58,STP
MONTHLY_MAX_PROFIT,CRFH,OE_DOMESTIC,117.17,117.17,0,0,117.17,117.17,01-Feb-25,5,FOC
MONTHLY_MAX_PROFIT,HRGI,OE_DOMESTIC,0,0,58,0,58,0,01-Feb-25,15,PRY
MONTHLY_MAX_PROFIT,HRGI,OE_DOMESTIC,0,0,1195,719,1195,719,01-Feb-25,15,STP
MONTHLY_MAX_PROFIT,HRPO,RE_DOMESTIC,1446.48,1396.480003,0,0,1446.48,1396.480003,01-Feb-25,4,FOC
MONTHLY_MAX_PROFIT,PPGL,OE_DOMESTIC,0,0,2402,2373,2402,2373,01-Feb-25,14,STR
MONTHLY_MAX_PROFIT,HRCTL,OE_DOMESTIC,836.72,0,0,0,836.72,0,01-Feb-25,-1,STR
MONTHLY_MAX_PROFIT,PRB_BRM,RE_DOMESTIC,0,0,122,122,122,122,01-Feb-25,16,EMG
MONTHLY_MAX_PROFIT,PRB_BRM,SA_DOMESTIC,0,0,425,411,425,411,01-Feb-25,16,STR
MONTHLY_MAX_PROFIT,HTPRB_BLM,SA_DOMESTIC,666.59,666.589989,0,0,666.59,666.589989,01-Feb-25,2,STP
MONTHLY_MAX_PROFIT,HTPRB_BRM,OE_DOMESTIC,138.22,138.220002,0,0,138.22,138.220002,01-Feb-25,2,EMG
MONTHLY_MAX_PROFIT,HTPRB_BRM,SA_DOMESTIC,5.76,5.76,0,0,5.76,5.76,01-Feb-25,2,EMG
MONTHLY_MAX_PROFIT,AS CAST BLOOMS,SA_DOMESTIC,0,0,53,53,53,53,01-Feb-25,19,STP
MONTHLY_MAX_PROFIT,GI,RE_DOMESTIC,0,0,21964,21884,21964,21884,01-Mar-25,34,PRY
MONTHLY_MAX_PROFIT,TIN,OE_DOMESTIC,0,0,3575,3513,3575,3513,01-Mar-25,33,STR
MONTHLY_MAX_PROFIT,HRGI,OTHERS,16,16,0,0,16,16,01-Mar-25,60,OTHERS
MONTHLY_MAX_PROFIT,PPGI,RE_DOMESTIC,0,0,13,13,13,13,01-Mar-25,33,STP
MONTHLY_MAX_PROFIT,SLAB,OE_DOMESTIC,0,0,11142,11097,11142,11097,01-Mar-25,38,STR
MONTHLY_MAX_PROFIT,HRCTL,SA_DOMESTIC,0,0,2189,1865.999999,2189,1865.999999,01-Mar-25,36,STP
MONTHLY_MAX_PROFIT,PRB_BRM,OE_DOMESTIC,0,0,1120,1120,1120,1120,01-Mar-25,35,STR
MONTHLY_MAX_PROFIT,GI,SA_DOMESTIC,0,0,795,787,795,787,01-Apr-25,47,STR
MONTHLY_MAX_PROFIT,TIN,MS_DOMESTIC,0,0,777,777,777,777,01-Apr-25,46,EMG
MONTHLY_MAX_PROFIT,CRFH,OE_DOMESTIC,0,0,145,145,145,145,01-Apr-25,49,FOC
MONTHLY_MAX_PROFIT,GL,OE_DOMESTIC,0,0,22071,21024.3908,22071,21024.3908,01-May-25,58,STP
MONTHLY_MAX_PROFIT,HR,OE_DOMESTIC,0,0,1884,1884,1884,1884,01-May-25,58,FOC
MONTHLY_MAX_PROFIT,CRCA,OE_DOMESTIC,0,0,14110,13195,14110,13195,01-May-25,58,STP
MONTHLY_MAX_PROFIT,CRCA,MS_DOMESTIC,0,0,6374,6374,6374,6374,01-May-25,58,STR
MONTHLY_MAX_PROFIT,WR - L,MS_DOMESTIC,0,0,1887,1887,1887,1887,01-May-25,58,PRY
MONTHLY_MAX_PROFIT,AS CAST BLOOMS,OE_DOMESTIC,0,0,222,222,222,222,01-May-25,58,STR
MONTHLY_MAX_PROFIT,AS CAST ROUNDS,SA_DOMESTIC,0,0,191,191,191,191,01-May-25,58,STR
MONTHLY_MAX_PROFIT,GL,RE_DOMESTIC,600,340,0,0,600,340,01-Feb-25,3,FOC
MONTHLY_MAX_PROFIT,HR,OE_DOMESTIC,582.76,582.760003,0,0,582.76,582.760003,01-Feb-25,5,FOC
MONTHLY_MAX_PROFIT,HR,OE_DOMESTIC,99217.149,98729.01472,0,0,99217.149,98729.01472,01-Feb-25,5,STP
MONTHLY_MAX_PROFIT,LPF,OE_DOMESTIC,10.86,10.86,0,0,10.86,10.86,01-Feb-25,4,STP
MONTHLY_MAX_PROFIT,TFS,MS_DOMESTIC,0,0,32,5,32,5,01-Feb-25,14,FOC
MONTHLY_MAX_PROFIT,TIN,MS_DOMESTIC,0,0,935,935,935,935,01-Feb-25,14,FOC
MONTHLY_MAX_PROFIT,HRPO,SA_DOMESTIC,0,0,4328,3968.86,4328,3968.86,01-Feb-25,16,STP
MONTHLY_MAX_PROFIT,PPGL,RE_DOMESTIC,0,0,6206,6190,6206,6190,01-Feb-25,14,PRY
MONTHLY_MAX_PROFIT,WR - L,SA_DOMESTIC,0,0,41,41,41,41,01-Feb-25,18,STP
MONTHLY_MAX_PROFIT,GA,SA_DOMESTIC,0,0,2168,2013,2168,2013,01-Mar-25,33,PRY
MONTHLY_MAX_PROFIT,GI,OE_DOMESTIC,20,20,0,0,20,20,01-Mar-25,22,FOC
MONTHLY_MAX_PROFIT,GI,MS_DOMESTIC,58,58,0,0,58,58,01-Mar-25,22,PRY
MONTHLY_MAX_PROFIT,GL,MS_DOMESTIC,0,0,897,888,897,888,01-Mar-25,34,PRY
MONTHLY_MAX_PROFIT,GL,OE_DOMESTIC,188.37,188.370001,0,0,188.37,188.370001,01-Mar-25,22,PRY
MONTHLY_MAX_PROFIT,HR,RE_DOMESTIC,170.3,170.299999,0,0,170.3,170.299999,01-Mar-25,24,STR
MONTHLY_MAX_PROFIT,LRPC,OE_DOMESTIC,0,0,345,292,345,292,01-Mar-25,33,PRY
MONTHLY_MAX_PROFIT,PPGI,OE_DOMESTIC,5678.21,5506.210006,0,0,5678.21,5506.210006,01-Mar-25,21,STP
MONTHLY_MAX_PROFIT,TMBP,OE_DOMESTIC,0,0,53,53,53,53,01-Mar-25,35,PRY
MONTHLY_MAX_PROFIT,PRB_BLM,OE_DOMESTIC,0,0,49,49,49,49,01-Mar-25,35,FOC
MONTHLY_MAX_PROFIT,PRB_BRM,DE_DOMESTIC,0,0,18,18,18,18,01-Mar-25,35,FOC
MONTHLY_MAX_PROFIT,HTPRB_BLM,SA_DOMESTIC,80,80,0,0,80,80,01-Mar-25,21,STR
MONTHLY_MAX_PROFIT,GI,RE_DOMESTIC,0,0,2086,2086,2086,2086,01-Apr-25,47,EMG
MONTHLY_MAX_PROFIT,ZM,MS_DOMESTIC,0,0,465,397,465,397,01-Apr-25,46,STR
MONTHLY_MAX_PROFIT,GBAL,OE_DOMESTIC,0,0,26,0,26,0,01-Apr-25,46,PRY
MONTHLY_MAX_PROFIT,HRPO,OE_DOMESTIC,0,0,4,4,4,4,01-Apr-25,48,FOC
MONTHLY_MAX_PROFIT,LRPC,OE_DOMESTIC,0,0,346,295,346,295,01-Apr-25,46,PRY
MONTHLY_MAX_PROFIT,HTPRB_BRM,SA_DOMESTIC,0,0,51,51,51,51,01-Apr-25,46,STR
MONTHLY_MAX_PROFIT,AS CAST ROUNDS,OE_DOMESTIC,0,0,3280,3280,3280,3280,01-Apr-25,51,EMG
